ticker,name,market,sector,sub_industry,market_cap_usd_b,source,company_type,turnaround_flag,universe_role,quality_risk_level,risk_flags,review_reason,recommended_next_action
CSGP,CoStar Group Inc.,US,Industrials,Professional Services,13.0,SP500+NDX,,N,EXTENDED,MEDIUM,NONE,MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,KEEP_EXTENDED
TYL,Tyler Technologies Inc.,US,Information Technology,Software,13.0,SP500,,N,EXTENDED,MEDIUM,NONE,MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,KEEP_EXTENDED
DECK,Deckers Outdoor Corporation,US,Consumer Discretionary,Textiles & Apparel,13.0,SP500,,N,EXTENDED,MEDIUM,NONE,MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,KEEP_EXTENDED
J,Jacobs Solutions Inc.,US,Industrials,Construction & Engineering,13.0,SP500,,N,EXTENDED,MEDIUM,NONE,MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,KEEP_EXTENDED
UDR,UDR Inc.,US,Real Estate,Residential REITs,13.0,SP500,,N,EXTENDED,MEDIUM,NONE,MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,KEEP_EXTENDED
CDW,CDW Corporation,US,Information Technology,Electronic Equipment,13.0,SP500,,N,EXTENDED,MEDIUM,NONE,MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,KEEP_EXTENDED
HAS,Hasbro Inc.,US,Consumer Discretionary,Leisure Products,13.0,SP500,,N,EXTENDED,MEDIUM,NONE,MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,KEEP_EXTENDED
SOLV,Solventum Corporation,US,Health Care,Health Care Equipment,13.0,SP500,,N,EXTENDED,MEDIUM,HEALTHCARE_EVENT_RISK,MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,KEEP_EXTENDED
MAS,Masco Corporation,US,Industrials,Building Products,13.0,SP500,,N,EXTENDED,MEDIUM,NONE,MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,KEEP_EXTENDED
HII,Huntington Ingalls Industries Inc.,US,Industrials,Aerospace & Defense,12.0,SP500,,N,EXTENDED,MEDIUM,NONE,MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,KEEP_EXTENDED
TRMB,Trimble Inc.,US,Information Technology,Electronic Equipment,12.0,SP500,,N,EXTENDED,MEDIUM,NONE,MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,KEEP_EXTENDED
GPC,Genuine Parts Company,US,Consumer Discretionary,Distributors,12.0,SP500,,N,EXTENDED,MEDIUM,NONE,MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,KEEP_EXTENDED
DVA,DaVita Inc.,US,Health Care,Health Care Providers,12.0,SP500,,N,EXTENDED,MEDIUM,HEALTHCARE_EVENT_RISK,MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,KEEP_EXTENDED
AIZ,Assurant Inc.,US,Financials,Insurance,12.0,SP500,,N,EXTENDED,MEDIUM,NONE,MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,KEEP_EXTENDED
MKC,McCormick & Company Incorporated,US,Consumer Staples,Food Products,12.0,SP500,,N,EXTENDED,MEDIUM,NONE,MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,KEEP_EXTENDED
ZBRA,Zebra Technologies Corporation,US,Information Technology,Electronic Equipment,12.0,SP500,,N,EXTENDED,MEDIUM,NONE,MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,KEEP_EXTENDED
GL,Globe Life Inc.,US,Financials,Insurance,12.0,SP500,,N,EXTENDED,MEDIUM,NONE,MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,KEEP_EXTENDED
BBY,Best Buy Co. Inc.,US,Consumer Discretionary,Specialty Retail,12.0,SP500,,N,EXTENDED,MEDIUM,NONE,MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,KEEP_EXTENDED
IVZ,Invesco Ltd.,US,Financials,Capital Markets,12.0,SP500,,N,EXTENDED,MEDIUM,NONE,MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,KEEP_EXTENDED
GDDY,GoDaddy Inc.,US,Information Technology,Software,12.0,SP500,,N,EXTENDED,MEDIUM,NONE,MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,KEEP_EXTENDED
PNW,Pinnacle West Capital Corporation,US,Utilities,Electric Utilities,12.0,SP500,,N,EXTENDED,MEDIUM,NONE,MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,KEEP_EXTENDED
BF.B,Brown-Forman Corporation,US,Consumer Staples,Beverages,12.0,SP500,,N,EXTENDED,MEDIUM,NONE,MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,KEEP_EXTENDED
AVY,Avery Dennison Corporation,US,Materials,Containers & Packaging,12.0,SP500,,N,EXTENDED,MEDIUM,NONE,MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,KEEP_EXTENDED
COO,The Cooper Companies Inc.,US,Health Care,Health Care Equipment,11.0,SP500,,N,EXTENDED,MEDIUM,HEALTHCARE_EVENT_RISK,MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,KEEP_EXTENDED
PNR,Pentair plc,US,Industrials,Machinery,11.0,SP500,,N,EXTENDED,MEDIUM,NONE,MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,KEEP_EXTENDED
SWK,Stanley Black & Decker Inc.,US,Consumer Discretionary,Household Durables,11.0,SP500,,N,EXTENDED,MEDIUM,NONE,MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,KEEP_EXTENDED
ERIE,Erie Indemnity Company,US,Financials,Insurance,11.0,SP500,,N,EXTENDED,MEDIUM,NONE,MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,KEEP_EXTENDED
ALGN,Align Technology Inc.,US,Health Care,Health Care Equipment,11.0,SP500,,N,EXTENDED,MEDIUM,HEALTHCARE_EVENT_RISK,MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,KEEP_EXTENDED
CLX,The Clorox Company,US,Consumer Staples,Household Products,11.0,SP500,,N,EXTENDED,MEDIUM,NONE,MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,KEEP_EXTENDED
APTV,Aptiv PLC,US,Consumer Discretionary,Automobile Components,11.0,SP500,,N,EXTENDED,MEDIUM,NONE,MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,KEEP_EXTENDED
HRL,Hormel Foods Corporation,US,Consumer Staples,Food Products,11.0,SP500,,N,EXTENDED,MEDIUM,NONE,MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,KEEP_EXTENDED
SJM,The J. M. Smucker Company,US,Consumer Staples,Food Products,11.0,SP500,,N,EXTENDED,MEDIUM,NONE,MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,KEEP_EXTENDED
ALLE,Allegion plc,US,Industrials,Building Products,11.0,SP500,,N,EXTENDED,MEDIUM,NONE,MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,KEEP_EXTENDED
PSKY,Paramount Skydance Corporation,US,Communication Services,Entertainment,11.0,SP500,,N,EXTENDED,MEDIUM,NONE,MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,KEEP_EXTENDED
CPT,Camden Property Trust,US,Real Estate,Residential REITs,10.0,SP500,,N,EXTENDED,MEDIUM,NONE,MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,KEEP_EXTENDED
BXP,BXP Inc.,US,Real Estate,Office REITs,10.0,SP500,,N,EXTENDED,MEDIUM,NONE,MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,KEEP_EXTENDED
