ticker,name,market,sector,sub_industry,market_cap_usd_b,source,company_type,turnaround_flag,universe_role,quality_risk_level,risk_flags,review_reason,recommended_next_action
CCEP,Coca-Cola Europacific Partners PLC,US,Consumer Staples,Beverages,40.0,NDX_ADR,,N,EXTENDED,MEDIUM,ADR_FOREIGN_LISTING,ADR_LISTING_RISK; MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,KEEP_EXTENDED
ALNY,Alnylam Pharmaceuticals Inc.,US,Health Care,Biotechnology,38.0,NDX,,N,HIGH_RISK_REVIEW,HIGH,BIOTECH_RISK;HEALTHCARE_EVENT_RISK,BIOTECH_CLINICAL_RISK; METADATA_ONLY_AUDIT; mid-large biotechnology row needs review before scoring,REVIEW_BEFORE_SCORING
TRI,Thomson Reuters Corporation,US,Industrials,Professional Services,35.0,NDX_ADR,,N,EXTENDED,MEDIUM,ADR_FOREIGN_LISTING,ADR_LISTING_RISK; MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,KEEP_EXTENDED
INSM,Insmed Incorporated,US,Health Care,Biotechnology,25.0,NDX,,N,HIGH_RISK_REVIEW,HIGH,BIOTECH_RISK;HEALTHCARE_EVENT_RISK,BIOTECH_CLINICAL_RISK; MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; biotechnology row below 30B metadata threshold,REVIEW_BEFORE_SCORING
ZS,Zscaler Inc.,US,Information Technology,Software,24.0,NDX,,N,EXTENDED,MEDIUM,NONE,MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,KEEP_EXTENDED
MRVL,Marvell Technology Inc.,US,Information Technology,Semiconductors,155.0,NDX,,N,CORE,LOW,NONE,METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,KEEP_CORE
TEAM,Atlassian Corporation,US,Information Technology,Software,20.0,FORMER_NDX_2026_ADR,,N,EXTENDED,MEDIUM,ADR_FOREIGN_LISTING,ADR_LISTING_RISK; MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,KEEP_EXTENDED
TSM,Taiwan Semiconductor Manufacturing Company Limited,US,Information Technology,Semiconductors,1100.0,ADR_50B+,BIG_TECH_AI_INFRA,N,CORE,LOW,ADR_FOREIGN_LISTING,ADR_LISTING_RISK; METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,KEEP_CORE
NVO,Novo Nordisk A/S,US,Health Care,Pharmaceuticals,180.0,ADR_50B+,,N,CORE,LOW,ADR_FOREIGN_LISTING,ADR_LISTING_RISK; METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,KEEP_CORE
NVS,Novartis AG,US,Health Care,Pharmaceuticals,250.0,ADR_50B+,,N,CORE,LOW,ADR_FOREIGN_LISTING,ADR_LISTING_RISK; METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,KEEP_CORE
AZN,AstraZeneca PLC,US,Health Care,Pharmaceuticals,230.0,ADR_50B+,,N,CORE,LOW,ADR_FOREIGN_LISTING,ADR_LISTING_RISK; METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,KEEP_CORE
SAP,SAP SE,US,Information Technology,Software,320.0,ADR_50B+,,N,CORE,LOW,ADR_FOREIGN_LISTING,ADR_LISTING_RISK; METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,KEEP_CORE
BABA,Alibaba Group Holding Limited,US,Consumer Discretionary,Broadline Retail,280.0,ADR_50B+,,N,CORE,LOW,ADR_FOREIGN_LISTING,ADR_LISTING_RISK; METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,KEEP_CORE
TM,Toyota Motor Corporation,US,Consumer Discretionary,Automobiles,250.0,ADR_50B+,,N,CORE,LOW,ADR_FOREIGN_LISTING,ADR_LISTING_RISK; METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,KEEP_CORE
SHEL,Shell plc,US,Energy,Oil Gas & Consumable Fuels,230.0,ADR_50B+,,N,CORE,LOW,ADR_FOREIGN_LISTING,ADR_LISTING_RISK; METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,KEEP_CORE
TTE,TotalEnergies SE,US,Energy,Oil Gas & Consumable Fuels,150.0,ADR_50B+,,N,CORE,LOW,ADR_FOREIGN_LISTING,ADR_LISTING_RISK; METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,KEEP_CORE
HSBC,HSBC Holdings plc,US,Financials,Banks,180.0,ADR_50B+,,N,CORE,LOW,ADR_FOREIGN_LISTING,ADR_LISTING_RISK; METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,KEEP_CORE
MUFG,Mitsubishi UFJ Financial Group Inc.,US,Financials,Banks,130.0,ADR_50B+,,N,CORE,LOW,ADR_FOREIGN_LISTING,ADR_LISTING_RISK; METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,KEEP_CORE
BHP,BHP Group Limited,US,Materials,Metals & Mining,130.0,ADR_50B+,,N,CORE,LOW,ADR_FOREIGN_LISTING,ADR_LISTING_RISK; METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,KEEP_CORE
RIO,Rio Tinto Group,US,Materials,Metals & Mining,105.0,ADR_50B+,,N,CORE,LOW,ADR_FOREIGN_LISTING,ADR_LISTING_RISK; METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,KEEP_CORE
UL,Unilever PLC,US,Consumer Staples,Personal Care Products,140.0,ADR_50B+,,N,CORE,LOW,ADR_FOREIGN_LISTING,ADR_LISTING_RISK; METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,KEEP_CORE
BTI,British American Tobacco p.l.c.,US,Consumer Staples,Tobacco,88.0,ADR_50B+,,N,CORE,LOW,ADR_FOREIGN_LISTING,ADR_LISTING_RISK; METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,KEEP_CORE
BUD,Anheuser-Busch InBev SA/NV,US,Consumer Staples,Beverages,115.0,ADR_50B+,,N,CORE,LOW,ADR_FOREIGN_LISTING,ADR_LISTING_RISK; METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,KEEP_CORE
DEO,Diageo plc,US,Consumer Staples,Beverages,75.0,ADR_50B+,,N,CORE,LOW,ADR_FOREIGN_LISTING,ADR_LISTING_RISK; METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,KEEP_CORE
SONY,Sony Group Corporation,US,Consumer Discretionary,Household Durables,110.0,ADR_50B+,,N,CORE,LOW,ADR_FOREIGN_LISTING,ADR_LISTING_RISK; METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,KEEP_CORE
HMC,Honda Motor Co. Ltd.,US,Consumer Discretionary,Automobiles,50.0,ADR_50B+,,N,CORE,LOW,ADR_FOREIGN_LISTING,ADR_LISTING_RISK; METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,KEEP_CORE
BP,BP p.l.c.,US,Energy,Oil Gas & Consumable Fuels,90.0,ADR_50B+,,N,CORE,LOW,ADR_FOREIGN_LISTING,ADR_LISTING_RISK; METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,KEEP_CORE
E,Eni S.p.A.,US,Energy,Oil Gas & Consumable Fuels,50.0,ADR_50B+,,N,CORE,LOW,ADR_FOREIGN_LISTING,ADR_LISTING_RISK; METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,KEEP_CORE
RELX,RELX PLC,US,Industrials,Professional Services,90.0,ADR_50B+,,N,CORE,LOW,ADR_FOREIGN_LISTING,ADR_LISTING_RISK; METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,KEEP_CORE
ASR,Grupo Aeroportuario del Sureste,US,Industrials,Transportation Infrastructure,8.0,ADR,,N,EXTENDED,MEDIUM,ADR_FOREIGN_LISTING,MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; sub-10B row retained outside core classification,KEEP_EXTENDED
BSAC,Banco Santander-Chile,US,Financials,Banks,8.0,ADR,,N,EXTENDED,MEDIUM,ADR_FOREIGN_LISTING,MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; sub-10B row retained outside core classification,KEEP_EXTENDED
ABEV,Ambev S.A.,US,Consumer Staples,Beverages,35.0,ADR,,N,EXTENDED,MEDIUM,ADR_FOREIGN_LISTING,ADR_LISTING_RISK; MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,KEEP_EXTENDED
VALE,Vale S.A.,US,Materials,Metals & Mining,50.0,ADR,,N,CORE,LOW,ADR_FOREIGN_LISTING,ADR_LISTING_RISK; METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,KEEP_CORE
ITUB,Itaú Unibanco Holding S.A.,US,Financials,Banks,70.0,ADR,,N,CORE,LOW,ADR_FOREIGN_LISTING,ADR_LISTING_RISK; METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,KEEP_CORE
BBD,Banco Bradesco S.A.,US,Financials,Banks,32.0,ADR,,N,EXTENDED,MEDIUM,ADR_FOREIGN_LISTING,ADR_LISTING_RISK; MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,KEEP_EXTENDED
PBR,Petróleo Brasileiro S.A.,US,Energy,Oil Gas & Consumable Fuels,95.0,ADR,,N,CORE,LOW,ADR_FOREIGN_LISTING,ADR_LISTING_RISK; METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,KEEP_CORE
VEEV,Veeva Systems Inc.,US,Health Care,Health Care Technology,26.1,SP500_NEW_MAY2026; market_cap_stockanalysis_2026_05_26,,N,EXTENDED,MEDIUM,HEALTHCARE_EVENT_RISK;RECENT_INDEX_INCLUSION,RECENT_INDEX_INCLUSION; MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,KEEP_EXTENDED
005930.KS,삼성전자,KR,Information Technology,Semiconductors,1248.6,KOSPI_TOP_AI_INFRA; JUDAL_2026_05_26,,N,CORE,LOW,NONE,METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,KEEP_CORE
000660.KS,SK하이닉스,KR,Information Technology,Semiconductors,1044.6,KOSPI_TOP_HBM; JUDAL_2026_05_26,,N,CORE,LOW,NONE,METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,KEEP_CORE
373220.KS,LG에너지솔루션,KR,Industrials,Electrical Equipment,66.8,KOSPI_TOP_BATTERY; JUDAL_2026_05_26,,N,CORE,LOW,NONE,METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,KEEP_CORE
207940.KS,삼성바이오로직스,KR,Health Care,Biotechnology,47.1,KOSPI_TOP_CDMO; JUDAL_2026_05_26,,N,EXTENDED,MEDIUM,BIOTECH_RISK;HEALTHCARE_EVENT_RISK,MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,KEEP_EXTENDED
402340.KS,SK스퀘어,KR,Financials,Diversified Financial Services,111.3,KOSPI_TOP_SK_HOLDING; JUDAL_2026_05_26; holding_classification_v0_2; sk_square_financial_holding_classification_v0_2,Holding,N,CORE,LOW,HOLDING_COMPANY,HOLDING_COMPANY_NATURE; METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,KEEP_CORE
005935.KS,삼성전자우,KR,Information Technology,Semiconductors,107.3,KOSPI_TOP_PREFERRED; JUDAL_2026_05_26,,N,CORE,LOW,NONE,METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,KEEP_CORE
009150.KS,삼성전기,KR,Information Technology,Electronic Components,83.9,KOSPI_TOP_MLCC_APPLE; JUDAL_2026_05_26,,N,CORE,LOW,NONE,METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,KEEP_CORE
005380.KS,현대차,KR,Consumer Discretionary,Automobiles,100.8,KOSPI_TOP; JUDAL_2026_05_26,,N,CORE,LOW,NONE,METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,KEEP_CORE
000270.KS,기아,KR,Consumer Discretionary,Automobiles,46.6,KOSPI_TOP; JUDAL_2026_05_26,,N,EXTENDED,MEDIUM,NONE,MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,KEEP_EXTENDED
068270.KS,셀트리온,KR,Health Care,Biotechnology,30.9,KOSPI_TOP; JUDAL_2026_05_26,,N,EXTENDED,MEDIUM,BIOTECH_RISK;HEALTHCARE_EVENT_RISK,MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,KEEP_EXTENDED
034020.KS,두산에너빌리티,KR,Industrials,Electrical Equipment,51.5,KOSPI_TOP_NUCLEAR; JUDAL_2026_05_26,,N,CORE,LOW,NONE,METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,KEEP_CORE
329180.KS,HD현대중공업,KR,Industrials,Machinery,55.9,KOSPI_TOP_SHIPBUILDING; JUDAL_2026_05_26,,N,CORE,LOW,NONE,METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,KEEP_CORE
012450.KS,한화에어로스페이스,KR,Industrials,Aerospace & Defense,46.1,KOSPI_TOP_DEFENSE; JUDAL_2026_05_26,,N,EXTENDED,MEDIUM,NONE,MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,KEEP_EXTENDED
042660.KS,한화오션,KR,Industrials,Machinery,29.5,KOSPI_TOP_SHIPBUILDING; JUDAL_2026_05_26,,N,EXTENDED,MEDIUM,NONE,MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,KEEP_EXTENDED
028260.KS,삼성물산,KR,Industrials,Industrial Conglomerates,47.6,KOSPI_TOP; JUDAL_2026_05_26; company_type_conglomerate_v0_2,Conglomerate,N,EXTENDED,MEDIUM,NONE,MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,KEEP_EXTENDED
006400.KS,삼성SDI,KR,Industrials,Electrical Equipment,37.0,KOSPI_TOP_BATTERY; JUDAL_2026_05_26,,N,EXTENDED,MEDIUM,NONE,MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,KEEP_EXTENDED
005490.KS,POSCO홀딩스,KR,Materials,Metals & Mining,25.0,KOSPI_TOP_ADR_AVAILABLE; JUDAL_2026_05_26,,N,EXTENDED,MEDIUM,ADR_FOREIGN_LISTING,ADR_LISTING_RISK; MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,KEEP_EXTENDED
035420.KS,NAVER,KR,Communication Services,Interactive Media,22.4,KOSPI_TOP; JUDAL_2026_05_26,,N,EXTENDED,MEDIUM,NONE,MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,KEEP_EXTENDED
267260.KS,HD현대일렉트릭,KR,Industrials,Electrical Equipment,29.6,KOSPI_TOP_TRANSFORMER; JUDAL_2026_05_26,,N,EXTENDED,MEDIUM,NONE,MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,KEEP_EXTENDED
105560.KS,KB금융,KR,Financials,Banks,41.9,KOSPI_TOP_FOREIGN_HIGH; JUDAL_2026_05_26; holding_classification_v0_2,Holding,N,EXTENDED,MEDIUM,HOLDING_COMPANY,HOLDING_COMPANY_NATURE; MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,KEEP_EXTENDED
298040.KS,효성중공업,KR,Industrials,Electrical Equipment,25.5,KOSPI_TOP_TRANSFORMER; JUDAL_2026_05_26,,N,EXTENDED,MEDIUM,NONE,MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,KEEP_EXTENDED
010120.KS,LS ELECTRIC,KR,Industrials,Electrical Equipment,30.5,KOSPI_TOP_TRANSFORMER_AIINFRA; JUDAL_2026_05_26,,N,EXTENDED,MEDIUM,NONE,MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,KEEP_EXTENDED
055550.KS,신한지주,KR,Financials,Banks,32.5,KOSPI_TOP_FOREIGN_HIGH; JUDAL_2026_05_26; holding_classification_v0_2,Holding,N,EXTENDED,MEDIUM,HOLDING_COMPANY,HOLDING_COMPANY_NATURE; MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,KEEP_EXTENDED
034730.KS,SK,KR,Industrials,Industrial Conglomerates,34.0,KOSPI_TOP_HOLDING; JUDAL_2026_05_26; holding_classification_v0_2,Holding,N,EXTENDED,MEDIUM,HOLDING_COMPANY,HOLDING_COMPANY_NATURE; MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,KEEP_EXTENDED
012330.KS,현대모비스,KR,Consumer Discretionary,Automobile Components,43.0,KOSPI_TOP; JUDAL_2026_05_26,,N,EXTENDED,MEDIUM,NONE,MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,KEEP_EXTENDED
010130.KS,고려아연,KR,Materials,Metals & Mining,21.5,KOSPI_TOP_ZINC; JUDAL_2026_05_26,,N,EXTENDED,MEDIUM,NONE,MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,KEEP_EXTENDED
051910.KS,LG화학,KR,Materials,Chemicals,17.7,KOSPI_TOP; JUDAL_2026_05_26,,N,EXTENDED,MEDIUM,NONE,MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,KEEP_EXTENDED
032830.KS,삼성생명,KR,Financials,Insurance,49.7,KOSPI_TOP; JUDAL_2026_05_26,,N,EXTENDED,MEDIUM,NONE,MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,KEEP_EXTENDED
009540.KS,HD한국조선해양,KR,Industrials,Machinery,22.5,KOSPI_TOP_SHIPBUILDING; JUDAL_2026_05_26; holding_classification_v0_2,Holding,N,EXTENDED,MEDIUM,HOLDING_COMPANY,HOLDING_COMPANY_NATURE; MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,KEEP_EXTENDED
000810.KS,삼성화재,KR,Financials,Insurance,18.5,KOSPI_TOP_FOREIGN_HIGH; JUDAL_2026_05_26,,N,EXTENDED,MEDIUM,NONE,MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,KEEP_EXTENDED
079550.KS,LIG넥스원,KR,Industrials,Aerospace & Defense,14.3,KOSPI_TOP_DEFENSE; JUDAL_2026_05_26,,N,EXTENDED,MEDIUM,NONE,MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,KEEP_EXTENDED
066570.KS,LG전자,KR,Consumer Discretionary,Household Durables,27.9,KOSPI_TOP; JUDAL_2026_05_26,,N,EXTENDED,MEDIUM,NONE,MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,KEEP_EXTENDED
011200.KS,HMM,KR,Industrials,Marine Transportation,13.6,KOSPI_TOP_SHIPPING; JUDAL_2026_05_26,,N,EXTENDED,MEDIUM,NONE,MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,KEEP_EXTENDED
011070.KS,LG이노텍,KR,Information Technology,Electronic Components,18.1,KOSPI_TOP_APPLE_SUPPLIER; JUDAL_2026_05_26,,N,EXTENDED,MEDIUM,NONE,MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,KEEP_EXTENDED
042700.KS,한미반도체,KR,Information Technology,Semiconductor Equipment,22.4,KOSPI_TOP_HBM; JUDAL_2026_05_26,,N,EXTENDED,MEDIUM,NONE,MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,KEEP_EXTENDED
272210.KS,한화시스템,KR,Industrials,Aerospace & Defense,15.5,KOSPI_TOP_DEFENSE; JUDAL_2026_05_26,,N,EXTENDED,MEDIUM,NONE,MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,KEEP_EXTENDED
033780.KS,KT&G,KR,Consumer Staples,Tobacco,13.5,KOSPI_TOP_FOREIGN_HIGH; JUDAL_2026_05_26,,N,EXTENDED,MEDIUM,NONE,MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,KEEP_EXTENDED
086790.KS,하나금융지주,KR,Financials,Banks,23.5,KOSPI_TOP_FOREIGN_HIGH; JUDAL_2026_05_26; holding_classification_v0_2,Holding,N,EXTENDED,MEDIUM,HOLDING_COMPANY,HOLDING_COMPANY_NATURE; MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,KEEP_EXTENDED
000150.KS,두산,KR,Industrials,Industrial Conglomerates,20.6,KOSPI_TOP; JUDAL_2026_05_26; holding_classification_v0_2,Holding,N,EXTENDED,MEDIUM,HOLDING_COMPANY,HOLDING_COMPANY_NATURE; MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,KEEP_EXTENDED
259960.KS,크래프톤,KR,Communication Services,Entertainment,8.6,KOSPI_TOP_GAME; JUDAL_2026_05_26,,N,EXTENDED,MEDIUM,NONE,MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; sub-10B row retained outside core classification,KEEP_EXTENDED
064350.KS,현대로템,KR,Industrials,Machinery,16.7,KOSPI_TOP_DEFENSE_RAIL; JUDAL_2026_05_26,,N,EXTENDED,MEDIUM,NONE,MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,KEEP_EXTENDED
267250.KS,HD현대,KR,Industrials,Industrial Conglomerates,16.3,KOSPI_TOP; JUDAL_2026_05_26; holding_classification_v0_2,Holding,N,EXTENDED,MEDIUM,HOLDING_COMPANY,HOLDING_COMPANY_NATURE; MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,KEEP_EXTENDED
010140.KS,삼성중공업,KR,Industrials,Machinery,19.1,KOSPI_TOP_SHIPBUILDING; JUDAL_2026_05_26,,N,EXTENDED,MEDIUM,NONE,MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,KEEP_EXTENDED
352820.KS,하이브,KR,Communication Services,Entertainment,7.3,KOSPI_TOP_KPOP; JUDAL_2026_05_26,,N,EXTENDED,MEDIUM,NONE,MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; sub-10B row retained outside core classification,KEEP_EXTENDED
015760.KS,한국전력,KR,Utilities,Electric Utilities,18.5,KOSPI_TOP_ADR_AVAILABLE; JUDAL_2026_05_26,,N,EXTENDED,MEDIUM,ADR_FOREIGN_LISTING,ADR_LISTING_RISK; MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,KEEP_EXTENDED
316140.KS,우리금융지주,KR,Financials,Banks,16.2,KOSPI_TOP_ADR_AVAILABLE_FOREIGN_HIGH; JUDAL_2026_05_26; holding_classification_v0_2,Holding,N,EXTENDED,MEDIUM,ADR_FOREIGN_LISTING;HOLDING_COMPANY,HOLDING_COMPANY_NATURE; MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,KEEP_EXTENDED
003670.KS,포스코퓨처엠,KR,Materials,Chemicals,15.3,KOSPI_TOP_BATTERY; JUDAL_2026_05_26,,N,EXTENDED,MEDIUM,NONE,MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,KEEP_EXTENDED
096770.KS,SK이노베이션,KR,Energy,Oil Gas & Consumable Fuels,14.7,KOSPI_TOP; JUDAL_2026_05_26,,N,EXTENDED,MEDIUM,NONE,MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,KEEP_EXTENDED
138040.KS,메리츠금융지주,KR,Financials,Insurance,12.7,KOSPI_TOP; JUDAL_2026_05_26; holding_classification_v0_2,Holding,N,EXTENDED,MEDIUM,HOLDING_COMPANY,HOLDING_COMPANY_NATURE; MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,KEEP_EXTENDED
006260.KS,LS,KR,Industrials,Industrial Conglomerates,12.3,KOSPI_TOP_HOLDING; JUDAL_2026_05_26; holding_classification_v0_2,Holding,N,EXTENDED,MEDIUM,HOLDING_COMPANY,HOLDING_COMPANY_NATURE; MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,KEEP_EXTENDED
086280.KS,현대글로비스,KR,Industrials,Air Freight & Logistics,12.6,KOSPI_TOP; JUDAL_2026_05_26,,N,EXTENDED,MEDIUM,NONE,MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,KEEP_EXTENDED
307950.KS,현대오토에버,KR,Information Technology,Software,12.5,KOSPI_TOP_AUTO_IT; JUDAL_2026_05_26,,N,EXTENDED,MEDIUM,NONE,MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,KEEP_EXTENDED
006800.KS,미래에셋증권,KR,Financials,Capital Markets,26.7,KOSPI_TOP; JUDAL_2026_05_26,,N,EXTENDED,MEDIUM,NONE,MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,KEEP_EXTENDED
003550.KS,LG,KR,Industrials,Industrial Conglomerates,13.5,KOSPI_TOP_HOLDING; JUDAL_2026_05_26; holding_classification_v0_2,Holding,N,EXTENDED,MEDIUM,HOLDING_COMPANY,HOLDING_COMPANY_NATURE; MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,KEEP_EXTENDED
003230.KS,삼양식품,KR,Consumer Staples,Food Products,7.0,KOSPI_TOP_KFOOD; JUDAL_2026_05_26,,N,EXTENDED,MEDIUM,NONE,MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; sub-10B row retained outside core classification,KEEP_EXTENDED
010950.KS,S-Oil,KR,Energy,Oil Gas & Consumable Fuels,8.9,KOSPI_TOP_FOREIGN_HIGH; JUDAL_2026_05_26,,N,EXTENDED,MEDIUM,NONE,MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; sub-10B row retained outside core classification,KEEP_EXTENDED
090430.KS,아모레퍼시픽,KR,Consumer Staples,Personal Care Products,5.0,KOSPI_TOP_KBEAUTY; JUDAL_2026_05_26,,N,EXTENDED,MEDIUM,NONE,MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; sub-10B row retained outside core classification,KEEP_EXTENDED
097950.KS,CJ제일제당,KR,Consumer Staples,Food Products,2.3,KOSPI_TOP; JUDAL_2026_05_26,,N,DISCOVERY_ONLY,HIGH,SMALL_CAP_RISK,SMALL_CAP_KOREA; METADATA_ONLY_AUDIT; market cap metadata below core threshold,DISCOVERY_ONLY
